elapsed, window, total, successful, failed
1.001216, 1.001216, 252643, 252643, 0
2.699468, 1.698252, 92343, 92343, 0
3.651418, 0.95195, 87007, 87007, 0
4.482762, 0.831344, 90105, 90105, 0
5.3479, 0.865138, 103656, 103656, 0
6.470238, 1.122338, 111288, 111288, 0
7.421437, 0.951199, 99842, 99842, 0
8.399353, 0.977916, 94604, 94604, 0
9.291867, 0.892514, 92802, 92802, 0
10.329694, 1.037827, 82254, 82254, 0
11.346592, 1.016898, 77861, 77861, 0
12.223748, 0.877156, 84568, 84568, 0
13.076199, 0.852451, 84645, 84645, 0
14.003968, 0.927769, 84775, 84775, 0
15.005158, 1.00119, 102427, 102427, 0
16.005269, 1.000111, 100726, 100726, 0
17.001609, 0.99634, 106276, 106276, 0
18.002836, 1.001227, 98882, 98882, 0
19.003972, 1.001136, 95934, 95934, 0
20.004139, 1.000167, 90310, 90310, 0
21.003507, 0.999368, 79372, 79372, 0
22.005928, 1.002421, 95409, 95409, 0
23.005991, 1.000063, 112135, 112135, 0
24.010756, 1.004765, 83556, 83556, 0
25.003758, 0.993002, 79337, 79337, 0
26.00283, 0.999072, 97569, 97569, 0
27.003294, 1.000464, 99998, 99998, 0
28.002835, 0.999541, 92124, 92124, 0
29.003037, 1.000202, 99733, 99733, 0
30.003277, 1.00024, 95754, 95754, 0
31.001979, 0.998702, 77834, 77834, 0
32.004956, 1.002977, 81935, 81935, 0
33.006115, 1.001159, 88256, 88256, 0
34.001241, 0.995126, 89166, 89166, 0
35.003134, 1.001893, 78984, 78984, 0
36.001574, 0.99844, 73090, 73090, 0
37.002467, 1.000893, 98434, 98434, 0
38.002765, 1.000298, 84591, 84591, 0
39.003606, 1.000841, 94067, 94067, 0
40.002162, 0.998556, 89992, 89992, 0
41.004249, 1.002087, 76974, 76974, 0
42.001953, 0.997704, 86432, 86432, 0
43.002287, 1.000334, 92826, 92826, 0
44.00201, 0.999723, 94404, 94404, 0
45.004612, 1.002602, 91611, 91611, 0
46.002784, 0.998172, 91370, 91370, 0
47.001381, 0.998597, 78918, 78918, 0
48.004043, 1.002662, 87402, 87402, 0
49.003621, 0.999578, 90693, 90693, 0
50.002518, 0.998897, 94447, 94447, 0
51.003046, 1.000528, 103479, 103479, 0
52.002782, 0.999736, 75963, 75963, 0
53.002394, 0.999612, 87298, 87298, 0
54.002343, 0.999949, 109764, 109764, 0
55.002893, 1.00055, 90741, 90741, 0
56.004718, 1.001825, 88408, 88408, 0
57.002268, 0.99755, 77082, 77082, 0
58.001784, 0.999516, 101023, 101023, 0
59.002338, 1.000554, 92962, 92962, 0
60.002945, 1.000607, 95937, 95937, 0
61.004816, 1.001871, 80001, 80001, 0
62.003463, 0.998647, 96037, 96037, 0
63.003071, 0.999608, 99417, 99417, 0
64.003651, 1.00058, 99798, 99798, 0
65.00171, 0.998059, 91864, 91864, 0
66.003513, 1.001803, 98486, 98486, 0
67.003401, 0.999888, 87754, 87754, 0
68.004171, 1.00077, 85668, 85668, 0
69.001871, 0.9977, 61284, 61284, 0
70.004593, 1.002722, 81081, 81081, 0
71.001467, 0.996874, 101037, 101037, 0
72.001489, 1.000022, 85965, 85965, 0
73.001765, 1.000276, 82539, 82539, 0
74.003119, 1.001354, 72259, 72259, 0
75.003006, 0.999887, 74392, 74392, 0
76.004548, 1.001542, 81069, 81069, 0
77.002978, 0.99843, 100634, 100634, 0
78.002905, 0.999927, 95750, 95750, 0
79.004307, 1.001402, 93447, 93447, 0
80.00276, 0.998453, 67840, 67840, 0
81.001914, 0.999154, 104685, 104685, 0
82.003021, 1.001107, 103663, 103663, 0
83.003939, 1.000918, 103533, 103533, 0
84.002016, 0.998077, 88634, 88634, 0
85.002029, 1.000013, 68763, 68763, 0
86.002731, 1.000702, 68960, 68960, 0
87.002806, 1.000075, 67038, 67038, 0
88.003511, 1.000705, 93525, 93525, 0
89.002319, 0.998808, 79871, 79871, 0
90.002887, 1.000568, 67557, 67557, 0
91.004351, 1.001464, 88542, 88542, 0
92.002499, 0.998148, 106343, 106343, 0
93.001409, 0.99891, 94014, 94014, 0
94.00113, 0.999721, 95559, 95559, 0
95.002979, 1.001849, 99740, 99740, 0
96.005539, 1.00256, 69526, 69526, 0
97.001937, 0.996398, 100518, 100518, 0
98.002458, 1.000521, 96984, 96984, 0
99.001331, 0.998873, 87690, 87690, 0
100.003496, 1.002165, 88254, 88254, 0
101.002457, 0.998961, 100272, 100272, 0
102.002633, 1.000176, 82903, 82903, 0
103.003213, 1.00058, 73465, 73465, 0
104.00144, 0.998227, 107202, 107202, 0
105.001293, 0.999853, 105075, 105075, 0
106.003636, 1.002343, 72640, 72640, 0
107.003449, 0.999813, 96477, 96477, 0
108.003793, 1.000344, 89285, 89285, 0
109.000874, 0.997081, 100821, 100821, 0
110.003218, 1.002344, 95292, 95292, 0
111.001175, 0.997957, 91870, 91870, 0
112.001442, 1.000267, 101523, 101523, 0
113.001042, 0.9996, 94370, 94370, 0
114.002346, 1.001304, 101328, 101328, 0
115.002815, 1.000469, 76665, 76665, 0
116.002414, 0.999599, 96054, 96054, 0
117.002411, 0.999997, 82836, 82836, 0
118.003582, 1.001171, 100286, 100286, 0
119.003031, 0.999449, 88815, 88815, 0
120.004532, 1.001501, 91208, 91208, 0
121.002088, 0.997556, 101003, 101003, 0
122.00503, 1.002942, 97890, 97890, 0
123.003156, 0.998126, 87904, 87904, 0
124.003518, 1.000362, 96159, 96159, 0
125.003958, 1.00044, 89091, 89091, 0
126.003487, 0.999529, 88833, 88833, 0
127.002457, 0.99897, 98239, 98239, 0
128.004777, 1.00232, 94623, 94623, 0
129.004152, 0.999375, 81021, 81021, 0
130.002804, 0.998652, 65489, 65489, 0
131.003477, 1.000673, 74772, 74772, 0
132.005301, 1.001824, 65305, 65305, 0
133.002644, 0.997343, 89100, 89100, 0
134.004279, 1.001635, 67581, 67581, 0
135.001346, 0.997067, 73596, 73596, 0
136.003306, 1.00196, 89512, 89512, 0
137.002599, 0.999293, 72849, 72849, 0
138.001916, 0.999317, 68339, 68339, 0
139.004988, 1.003072, 85244, 85244, 0
140.004309, 0.999321, 93615, 93615, 0
141.005622, 1.001313, 92676, 92676, 0
142.003386, 0.997764, 93005, 93005, 0
143.002921, 0.999535, 101784, 101784, 0
144.00364, 1.000719, 93979, 93979, 0
145.004644, 1.001004, 107058, 107058, 0
146.038333, 1.033689, 86652, 86652, 0
147.00416, 0.965827, 91619, 91619, 0
148.004455, 1.000295, 106671, 106671, 0
149.003613, 0.999158, 82765, 82765, 0
150.005086, 1.001473, 103461, 103461, 0
151.005785, 1.000699, 112122, 112122, 0
152.002968, 0.997183, 95922, 95922, 0
153.004435, 1.001467, 86168, 86168, 0
154.0055, 1.001065, 87989, 87989, 0
155.00542, 0.99992, 102908, 102908, 0
156.002414, 0.996994, 100365, 100365, 0
157.00722, 1.004806, 94901, 94901, 0
158.006122, 0.998902, 101553, 101553, 0
159.004731, 0.998609, 100557, 100557, 0
160.003772, 0.999041, 102824, 102824, 0
161.029458, 1.025686, 73761, 73761, 0
162.002541, 0.973083, 105176, 105176, 0
163.003729, 1.001188, 88653, 88653, 0
164.002958, 0.999229, 83309, 83309, 0
165.005665, 1.002707, 98282, 98282, 0
166.005895, 1.00023, 95475, 95475, 0
167.003457, 0.997562, 98550, 98550, 0
168.003613, 1.000156, 83037, 83037, 0
169.005565, 1.001952, 92651, 92651, 0
170.005869, 1.000304, 96964, 96964, 0
171.005227, 0.999358, 89772, 89772, 0
172.002254, 0.997027, 85854, 85854, 0
173.005948, 1.003694, 71901, 71901, 0
174.002775, 0.996827, 61184, 61184, 0
175.003336, 1.000561, 79303, 79303, 0
176.003302, 0.999966, 68563, 68563, 0
177.005584, 1.002282, 82106, 82106, 0
178.00454, 0.998956, 90342, 90342, 0
179.002033, 0.997493, 99309, 99309, 0
180.001646, 0.999613, 91279, 91279, 0
181.005419, 1.003773, 93815, 93815, 0
181.861607, 0.856188, 26500, 26500, 0
